"item","count","station_id_tally","date_tally","material","filename","num_buckets","bucket_size_gallons","num_bags","bag_size_gallons","total_small","units_small","large_volume","units_large","station_id_volume","station_id_vegetatedcondition","date_vegetated","banks_percent_ground_cover","banks_percent_understory","banks_percent_trees_roots","banks_percent_bare_ground","banks_percent_total","channel_percent_woody_debris","channel_percent_aquatic_vegetation","channel_percent_algae","channel_percent_no_vegetation_or_woody_debris","channel_percent_total","comments_vegetation","station_id_trashassessment","site_description","site_type","field_crew","date","start_time","start_am_pm","end_time","end_am_pm","start_latitude","end_latitude","start_longitude","end_longitude","watershed","datum","left_bank_access","left_bank_facing","right_bank_access","right_bank_facing","channel_type_1","channel_type_2","channel_type_3","channel_type_4","channel_type_other","is_stream_flowing","reach_length","reach_length_units","wetted_width_a","wetted_width_b","wetted_width_c","wetted_width_units","bankfull_width_a","bankfull_width_b","bankfull_width_c","bankfull_width_units","assessment_width_a","assessment_width_b","assessment_width_c","assessment_width_units","was_trash_picked_up","number_outfalls","outfall_diameter_1","outfall_diameter_2","outfall_diameter_3","outfall_diameter_4","outfall_trash_1","outfall_trash_2","outfall_trash_3","outfall_trash_4","outfall_trash_amount_1","outfall_trash_amount_2","outfall_trash_amount_3","outfall_trash_amount_4","homeless_encampment_in_200_m","comments"
"Cups",3,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Foam Cups",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Foam Food Containers",1,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Foam Other Containers",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Foam Pieces/Balls/Pellets/Peanuts*",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Foam Plate",1,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Hard Plastic Container",1,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Hard Plastic Pieces",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Lid",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Lighters",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Pens/Markers",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Plastic 6-Pack Holder",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Plastic Bottles",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Plastic Pipe",1,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
"Plastic Straw Wrapper",0,"17","44527","Plastic","Site 17_11-27-2021/Data for Site #17 11-27-21.xlsx","0.4","5",NA,NA,"2","GALLONS","0","   ft3","17","17","44527","0.05","0.45","0.4","0.1","1","0.2","0","0.65","0.15","1",NA,"17","Alhambra Valley Rd near Ck Road, long turnout","probabilistic","Megan, Ann, Norma, Kent, Mary, Damien, Lisa","44527","0.44791666666666669","AM","0.4826388888888889","AM","37.964399999999998","37.964100000000002","-122.20440000000001","-122.2039","Pinole Creek","GoogleEarth (NAD 83)","HARD","(Facing Downstream)","HARD","(Facing Downstream)","Natural","No addtional types","No addtional types","No addtional types","no others","YES","98","ft","7.333333333333333","3","10.083333333333334","ft","17.166666666666668","24","35","ft","17.166666666666668","24","35","ft","YES","0","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","no outfalls = or >18""","NO","NO","NO","NO","no trash","no trash","no trash","no trash","NO","This is an Illegal dumping site. Water had an unusual rust-brown color; but no odor or obivous spilled liquid."
